"C:\Program Files\Java\jdk1.8.0_121\bin\java" -Didea.launcher.port=7533 "-Didea.launcher.bin.path=C:\Program Files (x86)\JetBrains\IntelliJ IDEA 2016.3.4\bin" -Dfile.encoding=UTF-8 -classpath "C:\Program Files\Java\jdk1.8.0_121\jre\lib\charsets.jar;C:\Program Files\Java\jdk1.8.0_121\jre\lib\deploy.jar;C:\Program Files\Java\jdk1.8.0_121\jre\lib\ext\access-bridge-64.jar;C:\Program Files\Java\jdk1.8.0_121\jre\lib\ext\cldrdata.jar;C:\Program Files\Java\jdk1.8.0_121\jre\lib\ext\dnsns.jar;C:\Program Files\Java\jdk1.8.0_121\jre\lib\ext\jaccess.jar;C:\Program Files\Java\jdk1.8.0_121\jre\lib\ext\jfxrt.jar;C:\Program Files\Java\jdk1.8.0_121\jre\lib\ext\localedata.jar;C:\Program Files\Java\jdk1.8.0_121\jre\lib\ext\nashorn.jar;C:\Program Files\Java\jdk1.8.0_121\jre\lib\ext\sunec.jar;C:\Program Files\Java\jdk1.8.0_121\jre\lib\ext\sunjce_provider.jar;C:\Program Files\Java\jdk1.8.0_121\jre\lib\ext\sunmscapi.jar;C:\Program Files\Java\jdk1.8.0_121\jre\lib\ext\sunpkcs11.jar;C:\Program Files\Java\jdk1.8.0_121\jre\lib\ext\zipfs.jar;C:\Program Files\Java\jdk1.8.0_121\jre\lib\javaws.jar;C:\Program Files\Java\jdk1.8.0_121\jre\lib\jce.jar;C:\Program Files\Java\jdk1.8.0_121\jre\lib\jfr.jar;C:\Program Files\Java\jdk1.8.0_121\jre\lib\jfxswt.jar;C:\Program Files\Java\jdk1.8.0_121\jre\lib\jsse.jar;C:\Program Files\Java\jdk1.8.0_121\jre\lib\management-agent.jar;C:\Program Files\Java\jdk1.8.0_121\jre\lib\plugin.jar;C:\Program Files\Java\jdk1.8.0_121\jre\lib\resources.jar;C:\Program Files\Java\jdk1.8.0_121\jre\lib\rt.jar;D:\MCS\EC\tsp_group8\EC-Assignments\out\production\EC-Assignments;C:\Program Files (x86)\JetBrains\IntelliJ IDEA 2016.3.4\plugins\junit\lib\junit-jupiter-api-5.0.0-M3.jar;C:\Program Files (x86)\JetBrains\IntelliJ IDEA 2016.3.4\plugins\junit\lib\opentest4j-1.0.0-M1.jar;C:\Program Files (x86)\JetBrains\IntelliJ IDEA 2016.3.4\lib\idea_rt.jar" com.intellij.rt.execution.application.AppMain benchmark.EvaluateEvo
AlgoName,FileName,PopSize,Gen,Cost
TOI,testfiles/eil51.tsp,50,20000,437.7356751143197
TOI,testfiles/eil51.tsp,50,20000,449.1861652841679
TOI,testfiles/eil51.tsp,50,20000,447.24212562348146
TOI,testfiles/eil51.tsp,50,20000,457.2207495950456
TOI,testfiles/eil51.tsp,50,20000,452.4008304459067
TOI,testfiles/eil51.tsp,50,20000,447.02040133635074
TOI,testfiles/eil51.tsp,50,20000,461.0159504810815
TOI,testfiles/eil51.tsp,50,20000,445.20475104012826
TOI,testfiles/eil51.tsp,50,20000,456.4708461775174
TOI,testfiles/eil51.tsp,50,20000,455.41122323273373
TOI,testfiles/eil51.tsp,50,20000,444.4306935266299
TOI,testfiles/eil51.tsp,50,20000,446.5409982293638
TOI,testfiles/eil51.tsp,50,20000,452.8885621478171
TOI,testfiles/eil51.tsp,50,20000,452.8483719912772
TOI,testfiles/eil51.tsp,50,20000,461.5916342111581
TOI,testfiles/eil51.tsp,50,20000,443.08528847513435
TOI,testfiles/eil51.tsp,50,20000,440.5281850118265
TOI,testfiles/eil51.tsp,50,20000,449.6364184292859
TOI,testfiles/eil51.tsp,50,20000,442.61977773240426
TOI,testfiles/eil51.tsp,50,20000,455.7820281011649
TOI,testfiles/eil51.tsp,50,20000,460.6605269027718
TOI,testfiles/eil51.tsp,50,20000,454.83291717585104
TOI,testfiles/eil51.tsp,50,20000,448.85649056887917
TOI,testfiles/eil51.tsp,50,20000,431.3745636179172
TOI,testfiles/eil51.tsp,50,20000,453.26978229719026
TOI,testfiles/eil51.tsp,50,20000,458.11490662551444
TOI,testfiles/eil51.tsp,50,20000,452.06752669849067
TOI,testfiles/eil51.tsp,50,20000,449.58213417550576
TOI,testfiles/eil51.tsp,50,20000,442.2393657493817
TOI,testfiles/eil51.tsp,50,20000,450.4434599595264
TOI,testfiles/eil76.tsp,50,20000,591.0782198304919
TOI,testfiles/eil76.tsp,50,20000,577.470004361083
TOI,testfiles/eil76.tsp,50,20000,597.90982693176
TOI,testfiles/eil76.tsp,50,20000,561.9156793448166
TOI,testfiles/eil76.tsp,50,20000,580.1823050355291
TOI,testfiles/eil76.tsp,50,20000,585.1206801166195
TOI,testfiles/eil76.tsp,50,20000,605.8968138036979
TOI,testfiles/eil76.tsp,50,20000,593.4683433323592
TOI,testfiles/eil76.tsp,50,20000,591.9597671258653
TOI,testfiles/eil76.tsp,50,20000,585.8284182178554
TOI,testfiles/eil76.tsp,50,20000,587.5512152043148
